"RegionName","StateName","Metro","StateCodeFIPS","MunicipalCodeFIPS","avg_2019","avg_2022","price_changes"
"Erie County","NY","Buffalo-Cheektowaga, NY","36","029",171692.482457858,231802.628455463,0.350103540569161
"Gwinnett County","GA","Atlanta-Sandy Springs-Alpharetta, GA","13","135",242691.979728096,375200.797015436,0.54599586453495
"Milwaukee County","WI","Milwaukee-Waukesha, WI","55","079",164215.616252028,217828.871920906,0.326480860301351
"DuPage County","IL","Chicago-Naperville-Elgin, IL-IN-WI","17","043",299937.967228869,350199.096148909,0.1675717461994
"Shelby County","TN","Memphis, TN-MS-AR","47","157",138565.207639162,208427.330855016,0.504182286492739
"Pierce County","WA","Seattle-Tacoma-Bellevue, WA","53","053",349552.748266759,532452.934303342,0.523240589420294
"Kern County","CA","Bakersfield, CA","06","029",222550.074722965,317213.737673628,0.425358935819281
"Hartford County","CT","Hartford-East Hartford-Middletown, CT","09","003",219611.676890648,279433.741616513,0.272399289385926
"Denton County","TX","Dallas-Fort Worth-Arlington, TX","48","121",302466.410878456,433936.950493918,0.434661618239298
"Macomb County","MI","Detroit-Warren-Dearborn, MI","26","099",175368.036524488,229420.990704771,0.308225804722034
"San Francisco County","CA","San Francisco-Oakland-Berkeley, CA","06","075",1274823.5639896,1454985.0026131,0.141322645511568
"Hidalgo County","TX","McAllen-Edinburg-Mission, TX","48","215",109595.403282644,157454.992295775,0.436693397529663
"New Haven County","CT","New Haven-Milford, CT","09","009",225271.707042544,303743.968922145,0.348344951569001
"El Paso County","TX","El Paso, TX","48","141",135496.180567634,183567.066088082,0.354776683143862
"Middlesex County","NJ","New York-Newark-Jersey City, NY-NJ-PA","34","023",353954.349896634,443419.88640983,0.252760098976952
"Worcester County","MA","Worcester, MA-CT","25","027",294594.035324112,397475.001661072,0.34922963129165
"Essex County","NJ","New York-Newark-Jersey City, NY-NJ-PA","34","013",408529.402444617,517343.804861095,0.266356354684239
"Montgomery County","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","42","091",307282.635766693,398614.229859953,0.297223414090355
"Baltimore County","MD","Baltimore-Columbia-Towson, MD","24","005",256766.870036877,319291.419711345,0.243507075758988
"Ventura County","CA","Oxnard-Thousand Oaks-Ventura, CA","06","111",607886.98368646,809755.784830188,0.332082782755963
"Hamilton County","OH","Cincinnati, OH-KY-IN","39","061",164009.145052196,222650.971550862,0.35755217478881
"Snohomish County","WA","Seattle-Tacoma-Bellevue, WA","53","061",463357.622619806,714691.315876033,0.542418384821634
"Multnomah County","OR","Portland-Vancouver-Hillsboro, OR-WA","41","051",405002.016704508,522233.65588072,0.289459396104056
"Fort Bend County","TX","Houston-The Woodlands-Sugar Land, TX","48","157",262218.083863229,355074.670034362,0.354119688478721
"Essex County","MA","Boston-Cambridge-Newton, MA-NH","25","009",446824.0734152,587507.592164618,0.314852146783711
"Suffolk County","MA","Boston-Cambridge-Newton, MA-NH","25","025",592440.33582603,687468.71809001,0.160401607583797
"Oklahoma County","OK","Oklahoma City, OK","40","109",142124.416583725,190938.811883592,0.34346241464506
"Jefferson County","KY","Louisville/Jefferson County, KY-IN","21","111",173201.522387972,218611.691568137,0.262181120316288
"San Joaquin County","CA","Stockton, CA","06","077",377608.76192857,537376.722136339,0.423104483571256
"Cobb County","GA","Atlanta-Sandy Springs-Alpharetta, GA","13","067",266161.014452266,387347.435549085,0.455312440652549
"San Mateo County","CA","San Francisco-Oakland-Berkeley, CA","06","081",1312497.011822,1628322.58094431,0.240629552888565
"Dekalb County","GA","Atlanta-Sandy Springs-Alpharetta, GA","13","089",226797.66337548,321484.765423773,0.417495932890331
"Monroe County","NY","Rochester, NY","36","055",151895.59125114,204978.623808942,0.349470528542438
"Lee County","FL","Cape Coral-Fort Myers, FL","12","071",236168.443398346,369934.457921879,0.566400881500964
"El Paso County","CO","Colorado Springs, CO","08","041",310194.245397357,452984.877202906,0.460326501617191
"Norfolk County","MA","Boston-Cambridge-Newton, MA-NH","25","021",510008.402742891,641437.081243402,0.257699045336648
"Lake County","IL","Chicago-Naperville-Elgin, IL-IN-WI","17","097",246777.216291255,304827.115759178,0.235232005370424
"Jackson County","MO","Kansas City, MO-KS","29","095",148038.423156906,204652.154742921,0.382425929557553
"Polk County","FL","Lakeland-Winter Haven, FL","12","105",187497.879799965,288835.949408667,0.540475816136248
"Hudson County","NJ","New York-Newark-Jersey City, NY-NJ-PA","34","017",471321.533274935,557954.438290102,0.183808502049983
"Davidson County","TN","Nashville-Davidson--Murfreesboro--Franklin, TN","47","037",284846.078334423,407606.644101478,0.430971584670822
"Denver County","CO","Denver-Aurora-Lakewood, CO","08","031",425333.144334017,566178.604384302,0.331141510899225
"Will County","IL","Chicago-Naperville-Elgin, IL-IN-WI","17","197",239170.775029602,299010.44230478,0.250196401578629
"District of Columbia","DC","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","001",565716.420159388,642323.202468486,0.135415518410292
"Bernalillo County","NM","Albuquerque, NM","35","001",200989.725519109,291610.229923418,0.450871327727115
"Jefferson County","AL","Birmingham-Hoover, AL","01","073",141748.822852746,197043.008969413,0.390085681163707
"Tulsa County","OK","Tulsa, OK","40","143",148315.117193085,207249.837652334,0.397361520353484
"Providence County","RI","Providence-Warwick, RI-MA","44","007",257507.661427205,353937.030731195,0.37447184588428
"Kent County","MI","Grand Rapids-Kentwood, MI","26","081",204208.868129348,285586.943969818,0.398504122695221
"Arapahoe County","CO","Denver-Aurora-Lakewood, CO","08","005",382467.190581919,530788.50902132,0.387801416936529
"Utah County","UT","Provo-Orem, UT","49","049",348838.687411033,545663.895176636,0.564229871481217
"Bucks County","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","42","017",319312.212012834,418862.152158063,0.311763648241641
"Monmouth County","NJ","New York-Newark-Jersey City, NY-NJ-PA","34","025",440530.286399697,588882.104125753,0.336757363355161
"Ocean County","NJ","New York-Newark-Jersey City, NY-NJ-PA","34","029",299923.634193074,433394.01436023,0.445014546873736
"Montgomery County","TX","Houston-The Woodlands-Sugar Land, TX","48","339",245373.520201481,335403.832056553,0.366911277880131
"Johnson County","KS","Kansas City, MO-KS","20","091",285425.932078501,371685.219026382,0.302212508582286
"Brevard County","FL","Palm Bay-Melbourne-Titusville, FL","12","009",220405.796615841,329992.316951784,0.497203440284051
"Washington County","OR","Portland-Vancouver-Hillsboro, OR-WA","41","067",415042.468540405,567956.507525086,0.3684298609789
"Baltimore City","MD","Baltimore-Columbia-Towson, MD","24","510",131590.689564641,172864.057962995,0.313649609519513
"Williamson County","TX","Austin-Round Rock-Georgetown, TX","48","491",278716.079882357,484707.632068191,0.73907308208691
"Anne Arundel County","MD","Baltimore-Columbia-Towson, MD","24","003",363806.24949906,448026.62258926,0.231497873404228
"Jefferson County","CO","Denver-Aurora-Lakewood, CO","08","059",431150.219463683,609112.967122743,0.412762743993105
"Douglas County","NE","Omaha-Council Bluffs, NE-IA","31","055",178814.732364669,242878.687687775,0.358270006480544
"Bristol County","MA","Providence-Warwick, RI-MA","25","005",329269.773984091,440499.512609361,0.337807316108655
"Delaware County","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","42","045",215081.669456083,293564.870548401,0.364899534631624
"Union County","NJ","New York-Newark-Jersey City, NY-NJ-PA","34","039",390183.498740272,497425.865013163,0.274851106259309
"New Castle County","DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10","003",248142.507586211,303871.198913176,0.224583413253384
"Dane County","WI","Madison, WI","55","025",285733.990183749,363241.486694853,0.271257530338833
"Pasco County","FL","Tampa-St. Petersburg-Clearwater, FL","12","101",203801.440687731,323896.214170827,0.589273427498028
"Stanislaus County","CA","Modesto, CA","06","099",317022.045865773,450621.605725545,0.421420407829738
"Lancaster County","PA","Lancaster, PA","42","071",226857.078360013,299188.329798179,0.318840619658244
"Ramsey County","MN","Minneapolis-St. Paul-Bloomington, MN-WI","27","123",249107.096528938,311920.220489288,0.252153089316158
"Volusia County","FL","Deltona-Daytona Beach-Ormond Beach, FL","12","127",205675.012154627,308628.408200226,0.50056346158472
"Summit County","OH","Akron, OH","39","153",137721.781502982,179263.84026798,0.301637535556403
"Guilford County","NC","Greensboro-High Point, NC","37","081",165123.543707833,233034.794461728,0.41127539555507
"Montgomery County","OH","Dayton-Kettering, OH","39","113",116677.760920798,160664.597711626,0.376994179899346
"Chester County","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","42","029",356816.40466507,459810.157692016,0.288646350561214
"Spokane County","WA","Spokane-Spokane Valley, WA","53","063",249039.71513797,404614.529172992,0.624698811387702
"Plymouth County","MA","Boston-Cambridge-Newton, MA-NH","25","023",396487.517992656,529102.393210219,0.334474275228052
"Camden County","NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","007",183320.224269821,268370.228609251,0.463942288300112
"Passaic County","NJ","New York-Newark-Jersey City, NY-NJ-PA","34","031",350863.387023941,455923.635513614,0.299433489999639
"Sedgwick County","KS","Wichita, KS","20","173",132920.646016678,179872.882644073,0.353235092022529
"Greenville County","SC","Greenville-Anderson, SC","45","045",206160.60238878,283482.465174778,0.37505644575186
"Kane County","IL","Chicago-Naperville-Elgin, IL-IN-WI","17","089",240281.173465696,298674.381555465,0.243020321765266
"Adams County","CO","Denver-Aurora-Lakewood, CO","08","001",349509.04561851,490478.526926264,0.40333571641411
"Morris County","NJ","New York-Newark-Jersey City, NY-NJ-PA","34","027",458041.542548562,547326.988445648,0.194928707558487
"Clark County","WA","Portland-Vancouver-Hillsboro, OR-WA","53","011",358531.798123894,513782.102971794,0.433016836052718
"Lake County","IN","Chicago-Naperville-Elgin, IL-IN-WI","18","089",154646.531157447,208572.715219747,0.348706069633063
"Richmond County","NY","New York-Newark-Jersey City, NY-NJ-PA","36","085",572171.936781883,634502.406758541,0.108936607984006
"Sonoma County","CA","Santa Rosa-Petaluma, CA","06","097",649526.956443598,778649.202443155,0.198794283622268
"Polk County","IA","Des Moines-West Des Moines, IA","19","153",196398.283108184,243140.742839646,0.237998311348345
"Ada County","ID","Boise City, ID","16","001",310719.234450991,543725.771530966,0.749894152808641
"Washoe County","NV","Reno, NV","32","031",375967.87273916,554215.448015848,0.474103209878128
"Prince William County","VA","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","153",382291.662783241,500814.845054345,0.310033395466191
"Knox County","TN","Knoxville, TN","47","093",188557.22299437,288624.609081166,0.530700359804221
"Onondaga County","NY","Syracuse, NY","36","067",147047.183037258,193739.94151686,0.317535892324923
"Tulare County","CA","Visalia, CA","06","107",226008.364897304,318662.504388341,0.409958894809661
"Seminole County","FL","Orlando-Kissimmee-Sanford, FL","12","117",251631.18260585,360383.415002441,0.432189012785981
"Hampden County","MA","Springfield, MA","25","013",210591.123448131,279930.564960993,0.329260988675722
"Burlington County","NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","005",239040.466330728,322408.556781878,0.348761411533582
"Virginia Beach City","VA","Virginia Beach-Norfolk-Newport News, VA-NC","51","810",276423.244511453,353813.37318721,0.279969684939251
"East Baton Rouge Parish","LA","Baton Rouge, LA","22","033",183037.751342894,212007.243452024,0.158270585693877
"York County","PA","York-Hanover, PA","42","133",183932.418589532,241217.375464595,0.311445678333093
"Solano County","CA","Vallejo, CA","06","095",442398.754127739,594706.826659125,0.344277806187963
"Santa Barbara County","CA","Santa Maria-Santa Barbara, CA","06","083",605477.230287877,877219.415882956,0.448806614025564
"Jefferson Parish","LA","New Orleans-Metairie, LA","22","051",213258.09966585,260437.794498435,0.22123283901765
"Monterey County","CA","Salinas, CA","06","053",565604.965397641,790296.761026792,0.397259234581125
"Dakota County","MN","Minneapolis-St. Paul-Bloomington, MN-WI","27","037",286751.755605493,371112.923223947,0.294195819099069
"Lucas County","OH","Toledo, OH","39","095",105681.51579273,140046.558265678,0.325175525872914
"Sarasota County","FL","North Port-Sarasota-Bradenton, FL","12","115",268942.913778103,425385.150458262,0.581693097923505
"Berks County","PA","Reading, PA","42","011",178251.29997333,240954.384891926,0.35176789694088
"Pinal County","AZ","Phoenix-Mesa-Chandler, AZ","04","021",225409.728505064,398695.794658352,0.768760369406126
"Hillsborough County","NH","Manchester-Nashua, NH","33","011",283817.571519765,399728.399976717,0.40839905660626
"Cameron County","TX","Brownsville-Harlingen, TX","48","061",110481.181250624,158575.287358166,0.435314915745169
"Clackamas County","OR","Portland-Vancouver-Hillsboro, OR-WA","41","005",435034.839316626,600786.22825431,0.381007160709367
"Richland County","SC","Columbia, SC","45","079",155952.531875877,216334.781944222,0.387183518869724
"Mobile County","AL","Mobile, AL","01","097",125672.719663466,171827.554247621,0.367262160855203
"Loudoun County","VA","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","107",520798.894239855,692369.628966212,0.329437594096233
"Genesee County","MI","Flint, MI","26","049",116264.87269849,163866.886295464,0.40942730587613
"Waukesha County","WI","Milwaukee-Waukesha, WI","55","133",313463.598551444,388908.085220913,0.240680216197696
"Charleston County","SC","Charleston-North Charleston, SC","45","019",338386.015163527,482156.28273583,0.424870594911627
"Saint Charles County","MO","St. Louis, MO-IL","29","183",233400.364843509,312509.668679187,0.33894250289077
"Placer County","CA","Sacramento-Roseville-Folsom, CA","06","061",498282.331685547,703037.777402787,0.410922548717733
"Orange County","NY","Poughkeepsie-Newburgh-Middletown, NY","36","071",265657.058365861,370408.920038209,0.394312360140963
"Pulaski County","AR","Little Rock-North Little Rock-Conway, AR","05","119",148315.550035701,186005.429669512,0.254119541914105
"Manatee County","FL","North Port-Sarasota-Bradenton, FL","12","081",270349.688925122,423380.481740737,0.566047600883308
"Butler County","OH","Cincinnati, OH-KY-IN","39","017",181453.861741356,250751.652276088,0.381903090238492
"Mercer County","NJ","Trenton-Princeton, NJ","34","021",260592.560076921,341343.769516343,0.309875344927674
"Orleans Parish","LA","New Orleans-Metairie, LA","22","071",212536.301556063,274524.850596164,0.291660994316072
"Madison County","AL","Huntsville, AL","01","089",187130.945077709,289119.028324292,0.545009181694836
"Allen County","IN","Fort Wayne, IN","18","003",141825.860659466,199447.275570716,0.406282850273713
"Forsyth County","NC","Winston-Salem, NC","37","067",166701.829795287,237057.196498464,0.422043158071958
"Lane County","OR","Eugene-Springfield, OR","41","039",298085.052043866,429826.300047394,0.441958585646022
"Osceola County","FL","Orlando-Kissimmee-Sanford, FL","12","097",232322.710102272,344809.041001883,0.484181382225155
"Lake County","FL","Orlando-Kissimmee-Sanford, FL","12","069",228012.587316866,336432.455476855,0.475499486391595
"Stark County","OH","Canton-Massillon, OH","39","151",134318.604214887,173126.655900196,0.288925364525252
"Collier County","FL","Naples-Marco Island, FL","12","021",350072.185028301,548386.267195995,0.566494827778624
"Washtenaw County","MI","Ann Arbor, MI","26","161",299154.886400607,359217.228473634,0.200773394664177
"Lehigh County","PA","Allentown-Bethlehem-Easton, PA-NJ","42","077",206024.6731939,279486.523592039,0.356568217094081
"Marion County","FL","Ocala, FL","12","083",160520.761521835,251771.723747505,0.568468286348479
"Brazoria County","TX","Houston-The Woodlands-Sugar Land, TX","48","039",234242.391640511,304075.111266115,0.298121612986157
"Bell County","TX","Killeen-Temple, TX","48","027",161554.022197735,244810.447075306,0.515347273592907
"Hamilton County","TN","Chattanooga, TN-GA","47","065",205261.859596503,296162.723414962,0.442853163257649
"Anoka County","MN","Minneapolis-St. Paul-Bloomington, MN-WI","27","003",258833.316388626,343041.021894575,0.325335651070188
"Chesterfield County","VA","Richmond, VA","51","041",248355.22545249,335199.926643132,0.34967937973689
"Davis County","UT","Ogden-Clearfield, UT","49","011",337725.323802468,534118.740750634,0.581518183880796
"Westmoreland County","PA","Pittsburgh, PA","42","129",144844.449341676,182757.468359468,0.261749892316258
"Larimer County","CO","Fort Collins, CO","08","069",397114.227795292,531380.863220459,0.338105829576018
"Nueces County","TX","Corpus Christi, TX","48","355",168687.572689803,214797.492244581,0.273345088909235
"Douglas County","CO","Denver-Aurora-Lakewood, CO","08","035",499634.339331286,711492.410838909,0.424026242453982
"Galveston County","TX","Houston-The Woodlands-Sugar Land, TX","48","167",224332.201925749,307821.98356366,0.372170294416961
"Horry County","SC","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","45","051",191910.133963924,283785.176085503,0.478739919689961
"Marion County","OR","Salem, OR","41","047",298893.351559298,423143.740410003,0.415701413907346
"Somerset County","NJ","New York-Newark-Jersey City, NY-NJ-PA","34","035",429777.893638123,517920.219608062,0.205088086834348
"Hamilton County","IN","Indianapolis-Carmel-Anderson, IN","18","057",283031.044285155,394628.705829669,0.394294773657684
"Rockland County","NY","New York-Newark-Jersey City, NY-NJ-PA","36","087",461814.814326123,583481.208660938,0.263452774923103
"Rutherford County","TN","Nashville-Davidson--Murfreesboro--Franklin, TN","47","149",257092.913914123,382322.284528559,0.487097713849349
"Cumberland County","NC","Fayetteville, NC","37","051",121499.205679148,168857.309063931,0.389781176922632
"Henrico County","VA","Richmond, VA","51","087",245144.917419123,322397.564264097,0.315130526295577
"Howard County","MD","Baltimore-Columbia-Towson, MD","24","027",454278.478794223,553834.729705334,0.21915247047441
"Boulder County","CO","Boulder, CO","08","013",530485.352419248,729372.67590182,0.374915768315861
"Saint Lucie County","FL","Port St. Lucie, FL","12","111",223853.698639885,351608.358456985,0.570706048608205
"Luzerne County","PA","Scranton--Wilkes-Barre, PA","42","079",127271.226140142,178207.672829827,0.400219658712153
"Spartanburg County","SC","Spartanburg, SC","45","083",160172.052988216,232042.734806095,0.448709250315764
"Weld County","CO","Greeley, CO","08","123",356534.679154886,489159.152901312,0.371981973985795
"Fayette County","KY","Lexington-Fayette, KY","21","067",194678.487020314,258601.442488471,0.328351408758824
"Lancaster County","NE","Lincoln, NE","31","109",195649.964455492,257212.866259207,0.31465838481008
"Durham County","NC","Durham-Chapel Hill, NC","37","063",245648.102609765,376849.562702316,0.534103291247385
"Escambia County","FL","Pensacola-Ferry Pass-Brent, FL","12","033",164802.091386165,250405.77761455,0.519433251777111
"Albany County","NY","Albany-Schenectady-Troy, NY","36","001",232852.117962238,286029.97035992,0.228376073462666
"Rockingham County","NH","Boston-Cambridge-Newton, MA-NH","33","015",347306.012718229,483729.947112836,0.392806140403012
"Lorain County","OH","Cleveland-Elyria, OH","39","093",153190.701881702,202997.852107,0.325131679752734
"Northampton County","PA","Allentown-Bethlehem-Easton, PA-NJ","42","095",214895.284016484,288343.339017306,0.34178532738386
"McHenry County","IL","Chicago-Naperville-Elgin, IL-IN-WI","17","111",220059.773890033,286664.521528559,0.302666618533422
"Lubbock County","TX","Lubbock, TX","48","303",151489.776178996,194736.435424921,0.285475761709662
"Saint Louis City","MO","St. Louis, MO-IL","29","510",123116.622480364,157836.480344044,0.282007881342082
"Cumberland County","ME","Portland-South Portland, ME","23","005",315000.523617368,463935.644630637,0.472809122038734
"Gloucester County","NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","015",212392.610277613,296197.813103286,0.394576829750024
"Greene County","MO","Springfield, MO","29","077",144503.093724476,212450.960046479,0.470217381307829
"Dutchess County","NY","Poughkeepsie-Newburgh-Middletown, NY","36","027",285835.902929592,394870.691293714,0.381459387174954
"Chatham County","GA","Savannah, GA","13","051",189006.775006276,264592.403590828,0.399909625366828
"Clayton County","GA","Atlanta-Sandy Springs-Alpharetta, GA","13","063",131288.307580818,225761.737782914,0.719587539384955
"Ottawa County","MI","Grand Rapids-Kentwood, MI","26","139",231981.879014054,320710.377976788,0.38248030121938
"Anchorage Borough","AK","Anchorage, AK","02","020",318979.218273503,353845.403122969,0.109305505976792
"Cleveland County","OK","Oklahoma City, OK","40","027",165744.564838201,216126.580127862,0.303973860855369
"Lexington County","SC","Columbia, SC","45","063",165408.478399159,229665.46987435,0.38847459390883
"Leon County","FL","Tallahassee, FL","12","073",194425.816730628,256041.039639892,0.316908648991972
"Thurston County","WA","Olympia-Lacey-Tumwater, WA","53","067",322082.398049611,494848.44580175,0.536403258291465
"Ingham County","MI","Lansing-East Lansing, MI","26","065",134722.747883414,177200.248140789,0.315295678901485
"Winnebago County","IL","Rockford, IL","17","201",113864.65698889,150027.145057548,0.317591858834526
"Dauphin County","PA","Harrisburg-Carlisle, PA","42","043",163869.191303319,215613.846297057,0.315768050004956
"San Luis Obispo County","CA","San Luis Obispo-Paso Robles, CA","06","079",611029.505301512,817450.978145371,0.337825704082817
"Benton County","AR","Fayetteville-Springdale-Rogers, AR","05","007",199413.23450745,307535.660013478,0.542202857162866
"Merced County","CA","Merced, CA","06","047",275140.69136299,400255.527854609,0.454730399461548
"York County","SC","Charlotte-Concord-Gastonia, NC-SC","45","091",227913.261576439,344698.286909076,0.512409960372
"Alachua County","FL","Gainesville, FL","12","001",192550.610396063,270035.169768431,0.402411393103289
"Atlantic County","NJ","Atlantic City-Hammonton, NJ","34","001",198900.288916938,292695.368690576,0.471568343537237
"Kitsap County","WA","Bremerton-Silverdale-Port Orchard, WA","53","035",371538.362808523,554694.726510793,0.492967569533758
"Santa Cruz County","CA","Santa Cruz-Watsonville, CA","06","087",823703.834153149,1173740.20112607,0.424954155194378
"Saint Joseph County","IN","South Bend-Mishawaka, IN-MI","18","141",129222.029068836,177643.565289971,0.374715801710109
"Erie County","PA","Erie, PA","42","049",129333.106716146,166257.450942615,0.285498007153792
"New London County","CT","Norwich-New London, CT","09","011",235807.984470074,315087.192725171,0.336202391251761
"Frederick County","MD","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","021",339910.689661126,438768.219561832,0.290833836379968
